filename,true_class,predicted_class,confidence,correct
Common Duckweeds (Lemna minor)\augmented_image_10.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78591025,True
Common Duckweeds (Lemna minor)\augmented_image_100.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7969406,True
Common Duckweeds (Lemna minor)\augmented_image_1000.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7891753,True
Common Duckweeds (Lemna minor)\augmented_image_1001.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7886588,True
Common Duckweeds (Lemna minor)\augmented_image_1002.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8003797,True
Common Duckweeds (Lemna minor)\augmented_image_1003.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8015324,True
Common Duckweeds (Lemna minor)\augmented_image_1004.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7985646,True
Common Duckweeds (Lemna minor)\augmented_image_1005.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7969469,True
Common Duckweeds (Lemna minor)\augmented_image_1006.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79813933,True
Common Duckweeds (Lemna minor)\augmented_image_1007.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80396473,True
Common Duckweeds (Lemna minor)\augmented_image_1008.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80396473,True
Common Duckweeds (Lemna minor)\augmented_image_1009.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8092792,True
Common Duckweeds (Lemna minor)\augmented_image_101.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79480493,True
Common Duckweeds (Lemna minor)\augmented_image_1010.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8140289,True
Common Duckweeds (Lemna minor)\augmented_image_1011.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.81426954,True
Common Duckweeds (Lemna minor)\augmented_image_1012.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8092792,True
Common Duckweeds (Lemna minor)\augmented_image_1013.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78553617,True
Common Duckweeds (Lemna minor)\augmented_image_1014.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78565246,True
Common Duckweeds (Lemna minor)\augmented_image_1015.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7885643,True
Common Duckweeds (Lemna minor)\augmented_image_1016.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78849393,True
Common Duckweeds (Lemna minor)\augmented_image_1017.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78768843,True
Common Duckweeds (Lemna minor)\augmented_image_1018.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7877807,True
Common Duckweeds (Lemna minor)\augmented_image_1019.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7877065,True
Common Duckweeds (Lemna minor)\augmented_image_102.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79532063,True
Common Duckweeds (Lemna minor)\augmented_image_1020.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78784853,True
Common Duckweeds (Lemna minor)\augmented_image_1021.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7993269,True
Common Duckweeds (Lemna minor)\augmented_image_1022.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79798347,True
Common Duckweeds (Lemna minor)\augmented_image_1023.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7972819,True
Common Duckweeds (Lemna minor)\augmented_image_1024.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8031692,True
Common Duckweeds (Lemna minor)\augmented_image_1025.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79861087,True
